# * STATIC * 
#
# file generated by ** cup.H ** 
#
# PARAMETERS: 
# G = 0.114758
# a drude model was used for silver
# ------------- 
# ome (eV)	real(alph)	imag(alph)
#
  2.26732 	-18.1032   	-0.0393864 
  2.26744 	-18.0475   	-0.0336709 
  2.26756 	-17.9921   	-0.0280173 
  2.26768 	-17.937    	-0.0224249 
  2.2678  	-17.8823   	-0.0168929 
  2.26792 	-17.828    	-0.0114207 
  2.26804 	-17.7739   	-0.00600747
  2.26816 	-17.7203   	-0.00065257
  2.26828 	-17.6669   	0.00464471 
  2.2684  	-17.6139   	0.00988505 
  2.26852 	-17.5612   	0.0150691  
  2.26864 	-17.5088   	0.0201976  
  2.26876 	-17.4567   	0.0252711  
  2.26888 	-17.405    	0.0302903  
  2.269   	-17.3535   	0.0352559  
  2.26912 	-17.3024   	0.0401684  
  2.26924 	-17.2516   	0.0450285  
  2.26936 	-17.2011   	0.0498367  
  2.26948 	-17.1509   	0.0545938  
  2.2696  	-17.101    	0.0593002  
  2.26972 	-17.0514   	0.0639565  
  2.26984 	-17.002    	0.0685634  
  2.26996 	-16.953    	0.0731213  
  2.27008 	-16.9043   	0.0776309  
  2.2702  	-16.8558   	0.0820927  
  2.27032 	-16.8077   	0.0865072  
  2.27044 	-16.7598   	0.090875   
  2.27056 	-16.7122   	0.0951966  
  2.27068 	-16.6649   	0.0994725  
  2.2708  	-16.6178   	0.103703   
  2.27092 	-16.571    	0.107889   
  2.27104 	-16.5245   	0.112031   
  2.27116 	-16.4783   	0.116129   
  2.27128 	-16.4323   	0.120184   
  2.2714  	-16.3866   	0.124197   
  2.27152 	-16.3412   	0.128167   
  2.27164 	-16.296    	0.132095   
  2.27176 	-16.251    	0.135982   
  2.27188 	-16.2064   	0.139828   
  2.272   	-16.1619   	0.143634   
  2.27212 	-16.1177   	0.147399   
  2.27224 	-16.0738   	0.151126   
  2.27236 	-16.0301   	0.154813   
  2.27248 	-15.9867   	0.158461   
  2.2726  	-15.9435   	0.162071   
  2.27272 	-15.9005   	0.165643   
  2.27284 	-15.8578   	0.169178   
  2.27296 	-15.8153   	0.172675   
  2.27308 	-15.7731   	0.176136   
  2.2732  	-15.731    	0.179561   
  2.27332 	-15.6892   	0.18295    
  2.27344 	-15.6477   	0.186303   
  2.27356 	-15.6063   	0.189622   
  2.27368 	-15.5652   	0.192905   
  2.2738  	-15.5243   	0.196154   
  2.27392 	-15.4836   	0.199369   
  2.27404 	-15.4432   	0.202551   
  2.27416 	-15.403    	0.205699   
  2.27428 	-15.3629   	0.208814   
  2.2744  	-15.3231   	0.211896   
  2.27452 	-15.2835   	0.214946   
  2.27464 	-15.2441   	0.217964   
  2.27476 	-15.205    	0.220951   
  2.27488 	-15.166    	0.223906   
  2.275   	-15.1272   	0.226831   
  2.27512 	-15.0887   	0.229724   
  2.27524 	-15.0503   	0.232588   
  2.27536 	-15.0121   	0.235421   
  2.27548 	-14.9742   	0.238224   
  2.2756  	-14.9364   	0.240999   
  2.27572 	-14.8988   	0.243744   
  2.27584 	-14.8615   	0.24646    
  2.27596 	-14.8243   	0.249147   
  2.27608 	-14.7873   	0.251807   
  2.2762  	-14.7505   	0.254438   
  2.27632 	-14.7139   	0.257042   
  2.27644 	-14.6775   	0.259618   
  2.27656 	-14.6412   	0.262168   
  2.27668 	-14.6052   	0.26469    
  2.2768  	-14.5693   	0.267186   
  2.27692 	-14.5336   	0.269655   
  2.27704 	-14.4981   	0.272099   
  2.27716 	-14.4627   	0.274516   
  2.27728 	-14.4276   	0.276908   
  2.2774  	-14.3926   	0.279275   
  2.27752 	-14.3578   	0.281617   
  2.27764 	-14.3231   	0.283934   
  2.27776 	-14.2887   	0.286226   
  2.27788 	-14.2544   	0.288494   
  2.278   	-14.2203   	0.290738   
  2.27812 	-14.1863   	0.292959   
  2.27824 	-14.1525   	0.295155   
  2.27836 	-14.1189   	0.297328   
  2.27848 	-14.0854   	0.299478   
  2.2786  	-14.0521   	0.301605   
  2.27872 	-14.019    	0.30371    
  2.27884 	-13.986    	0.305792   
  2.27896 	-13.9532   	0.307852   
  2.27908 	-13.9205   	0.309889   
  2.2792  	-13.888    	0.311905   
  2.27932 	-13.8557   	0.313899   
  2.27944 	-13.8235   	0.315872   
  2.27956 	-13.7915   	0.317823   
  2.27968 	-13.7596   	0.319754   
  2.2798  	-13.7279   	0.321664   
  2.27992 	-13.6963   	0.323553   
  2.28004 	-13.6648   	0.325421   
  2.28016 	-13.6336   	0.32727    
  2.28028 	-13.6024   	0.329098   
  2.2804  	-13.5714   	0.330907   
  2.28052 	-13.5406   	0.332696   
